,1. open,2. high,3. low,4. close,5. volume,interval
2018-08-30 15:35:00,370.9800,371.0900,370.5400,370.9207,109875,5
2018-08-30 15:30:00,370.9000,371.0000,370.5383,370.9357,94287,5
2018-08-30 15:25:00,370.5228,370.7800,370.4000,370.6950,63496,5
2018-08-30 15:20:00,370.1000,370.6700,369.4827,370.3600,84006,5
2018-08-30 15:15:00,369.3700,370.1100,368.8900,369.9500,83936,5
2018-08-30 15:10:00,369.2000,370.0895,369.0975,369.6100,104282,5
2018-08-30 15:05:00,367.6613,369.3800,367.2100,369.2619,187506,5
2018-08-30 15:00:00,368.9400,368.9600,367.6001,367.6500,186929,5
2018-08-30 14:55:00,370.5900,370.5900,368.8740,368.8740,147732,5
2018-08-30 14:50:00,371.0300,371.0300,370.0400,370.5400,81550,5
2018-08-30 14:45:00,370.6800,371.9200,370.6500,371.0150,75180,5
2018-08-30 14:40:00,371.9100,371.9100,370.6632,370.7700,70936,5
2018-08-30 14:35:00,371.9150,372.5200,371.7350,371.8100,70061,5
2018-08-30 14:30:00,370.9095,372.1498,370.5138,371.9318,127144,5
2018-08-30 14:25:00,370.8604,371.4275,370.3700,371.1100,116191,5
2018-08-30 14:20:00,371.1400,371.9400,369.6900,370.8099,210290,5
2018-08-30 14:15:00,373.9924,373.9924,370.8000,371.1945,190622,5
2018-08-30 14:10:00,373.4400,374.0000,373.0500,374.0000,42289,5
2018-08-31 15:45:00,367.9600,368.6950,367.1200,367.8000,1404050,15
2018-08-31 15:30:00,367.2100,367.8420,367.1100,367.8000,325112,15
2018-08-31 15:15:00,369.0900,369.5200,367.1900,367.2600,330485,15
2018-08-31 15:00:00,369.0900,369.7500,369.0900,369.1500,178239,15
2018-08-31 14:45:00,369.4590,370.0900,369.0000,369.0542,181033,15
2018-08-31 14:30:00,370.1200,370.1500,369.0000,369.3285,217899,15
2018-08-31 14:15:00,370.8100,370.9800,369.8900,370.1359,192915,15
2018-08-31 14:00:00,371.3340,371.6100,370.5400,370.8600,186694,15
2018-08-31 13:45:00,371.4600,371.7950,370.6900,371.2003,162267,15
2018-08-31 13:30:00,371.8000,371.9000,371.1200,371.4190,162877,15
2018-08-31 13:15:00,372.7300,372.8000,371.8900,371.9400,180023,15
2018-08-31 13:00:00,372.7200,373.0500,372.3400,372.6000,88226,15
2018-08-31 12:45:00,372.4940,373.1900,372.4700,372.7500,116605,15
